正常蓄水位_m,年份,水电工程投资_万元,水库补偿_万元,替代火电站投资_万元,煤矿投资_万元,初期运行及燃料费_万元,合计_万元,折算至施工期末_万元
100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2,14843.515257956657,1249.45,0.0,0.0,0.0,16092.965257956657,37946.37027134215
100.0,3,14163.659597286885,2498.9,0.0,0.0,0.0,16662.559597286887,35717.6762987023
100.0,4,10877.690570716328,4997.8,0.0,0.0,0.0,15875.490570716327,30936.839946043685
100.0,5,15410.061641848133,6247.25,0.0,0.0,0.0,21657.311641848133,38367.24866954414
100.0,6,8271.577204815541,4997.8,0.0,0.0,0.0,13269.37720481554,21370.464682127484
100.0,7,15070.133811513248,4997.8,0.0,0.0,0.0,20067.93381151325,29381.461893436557
100.0,8,16769.772963187672,0.0,0.0,0.0,0.0,16769.772963187672,22320.5678140028
100.0,9,11557.546231386097,0.0,0.0,0.0,255.13867936794577,11812.684910754044,14293.348742012395
100.0,10,5098.917455023278,0.0,0.0,0.0,892.9853777878102,5991.902832811089,6591.093116092198
100.0,11,-23681.63884666367,0.0,0.0,0.0,1148.124057155756,-22533.514789507914,-22533.514789507914
