正常蓄水位_m,频率_%,原拦洪量_亿m3,平移后拦洪量_亿m3,减少拦洪量_亿m3
100.0,0.0,17.075,10.511161669383997,6.563838330616003
100.0,5.0,16.0625,9.498661669383997,6.563838330616003
100.0,5.0,16.0625,0.0,16.0625
100.0,11.11111111111111,14.825,0.0,14.825
100.0,22.22222222222222,12.575,0.0,12.575
100.0,33.33333333333333,10.325000000000001,0.0,10.325000000000001
100.0,44.44444444444444,8.075000000000001,0.0,8.075000000000001
100.0,55.55555555555556,5.824999999999999,0.0,5.824999999999999
100.0,66.66666666666666,3.575000000000003,0.0,3.575000000000003
100.0,77.77777777777779,1.3249999999999993,0.0,1.3249999999999993
100.0,84.32098765432099,0.0,0.0,0.0
