正常蓄水位_m,洪水标准,序号,时间_h,时间标识,入库流量_m3s,出库流量_m3s,库水位_m,库容_亿m3,运行方式
120.0,5%,0,0.0,7-10-0,4980.0,4980.0,120.0,57.349,起调
120.0,5%,1,5.0,7-10-5,5530.0,5530.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,2,10.0,7-10-10,6900.0,6900.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,3,15.0,7-10-15,9090.0,9090.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,4,20.0,7-10-20,10200.0,10200.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,5,25.0,7-11-1,9980.0,9980.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,6,30.0,7-11-6,9610.0,9610.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,7,35.0,7-11-11,9320.0,9320.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,8,40.0,7-11-16,9060.0,9060.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,9,45.0,7-11-21,8450.0,8450.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,10,50.0,7-12-2,7760.0,7760.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,11,55.0,7-12-7,9380.0,9380.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,12,60.0,7-12-12,13200.0,13200.0,120.0,57.349,来量小于汛限泄能-来多少泄多少
120.0,5%,13,65.0,7-12-17,15500.0,13431.254369965172,120.0493747133055,57.53518710640368,闸门全开自由泄流
120.0,5%,14,70.0,7-12-22,16400.0,13597.473856653196,120.16563726591339,57.97360156603279,闸门全开自由泄流
120.0,5%,15,75.0,7-13-3,17600.0,13823.18427167866,120.32266629571663,58.565742334517815,闸门全开自由泄流
120.0,5%,16,80.0,7-13-8,19000.0,14122.188729692496,120.52922611695959,59.344658764442904,闸门全开自由泄流
120.0,5%,17,85.0,7-13-13,20400.0,14497.92625526833,120.7865094316638,60.31484841586105,闸门全开自由泄流
120.0,5%,18,90.0,7-13-18,22100.0,14957.46037199936,121.09784497586563,61.48886361949169,闸门全开自由泄流
120.0,5%,19,95.0,7-13-23,23500.0,15497.580553111591,121.45930943179067,62.851909936339446,闸门全开自由泄流
120.0,5%,20,100.0,7-14-4,24500.0,16090.770220699571,121.8510059579477,64.328958366825,闸门全开自由泄流
120.0,5%,21,105.0,7-14-9,25300.0,16713.602038525365,122.25664028843022,65.85856486364152,闸门全开自由泄流
120.0,5%,22,110.0,7-14-14,24500.0,17299.799115459296,122.63341874882173,67.27935875993187,闸门全开自由泄流
120.0,5%,23,115.0,7-14-19,23100.0,17770.262808223244,122.93247054733013,68.4070531869272,闸门全开自由泄流
120.0,5%,24,120.0,7-14-24,21100.0,18086.06891610499,123.13160872254,69.15798333182607,闸门全开自由泄流
120.0,5%,25,125.0,7-15-5,18500.0,18211.614916159066,123.21042504096052,69.455191786958,闸门全开自由泄流
120.0,5%,26,130.0,7-15-10,16400.0,18155.789112183233,123.17540253636835,69.32312542439143,闸门全开自由泄流
120.0,5%,27,135.0,7-15-15,15100.0,17979.838427493527,123.06476410028691,68.9059189457719,闸门全开自由泄流
120.0,5%,28,140.0,7-15-20,14000.0,17730.025564275187,122.90700659960375,68.31103118644575,闸门全开自由泄流
120.0,5%,29,145.0,7-16-1,12900.0,17420.002096462587,122.71010334320704,67.56852869689939,闸门全开自由泄流
120.0,5%,30,150.0,7-16-6,11900.0,17058.819540043507,122.47909908762493,66.69743474952487,闸门全开自由泄流
120.0,5%,31,155.0,7-16-11,11000.0,16658.416408818437,122.2209243188718,65.72388351403367,闸门全开自由泄流
120.0,5%,32,160.0,7-16-16,9930.0,16220.173332407372,121.93574755024709,64.64851043722672,闸门全开自由泄流
120.0,5%,33,165.0,7-16-21,8840.0,15741.31629246279,121.62090651326993,63.46127637088957,闸门全开自由泄流
120.0,5%,34,170.0,7-17-2,8820.0,15262.304689247958,121.30243456003693,62.26035048244328,闸门全开自由泄流
