正常蓄水位_m,洪水标准,序号,时间_h,时间标识,入库流量_m3s,出库流量_m3s,库水位_m,库容_亿m3,运行方式
108.0,5%,0,0.0,7-10-0,4980.0,4980.0,105.35824381639819,26.450207013641144,起调
108.0,5%,1,5.0,7-10-5,5530.0,5530.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,2,10.0,7-10-10,6900.0,6900.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,3,15.0,7-10-15,9090.0,9090.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,4,20.0,7-10-20,10200.0,10200.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,5,25.0,7-11-1,9980.0,9980.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,6,30.0,7-11-6,9610.0,9610.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,7,35.0,7-11-11,9320.0,9320.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,8,40.0,7-11-16,9060.0,9060.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,9,45.0,7-11-21,8450.0,8450.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,10,50.0,7-12-2,7760.0,7760.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,11,55.0,7-12-7,9380.0,9380.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,12,60.0,7-12-12,13200.0,13200.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
108.0,5%,13,65.0,7-12-17,15500.0,13919.116035467434,105.45401626994676,26.59248657063291,闸门全开自由泄流
108.0,5%,14,70.0,7-12-22,16400.0,14295.961694750515,105.67725469532667,26.924129575377293,闸门全开自由泄流
108.0,5%,15,75.0,7-13-3,17600.0,14802.459744977215,105.97420008514244,27.365271646487614,闸门全开自由泄流
108.0,5%,16,80.0,7-13-8,19000.0,15465.502351381308,106.35780496690032,27.935155058827103,闸门全开自由泄流
108.0,5%,17,85.0,7-13-13,20400.0,16279.96986627754,106.82152837848977,28.624062559084408,闸门全开自由泄流
108.0,5%,18,90.0,7-13-18,22100.0,17251.91589698204,107.36483093711124,29.431192840172457,闸门全开自由泄流
108.0,5%,19,95.0,7-13-23,23500.0,18356.813552547013,107.97011792502319,30.330407189414455,闸门全开自由泄流
108.0,5%,20,100.0,7-14-4,24500.0,19501.627261920017,108.58450963633418,31.243147515738052,闸门全开自由泄流
108.0,5%,21,105.0,7-14-9,25300.0,20000.0,109.20840136117748,32.17000106216525,下游防洪标准-控制安全泄量
108.0,5%,22,110.0,7-14-14,24500.0,20000.0,109.8021008765248,33.05200106216525,下游防洪标准-控制安全泄量
108.0,5%,23,115.0,7-14-19,23100.0,20000.0,110.16248013255229,33.73600106216525,下游防洪标准-控制安全泄量
108.0,5%,24,120.0,7-14-24,21100.0,20000.0,110.31996044751291,34.11400106216525,下游防洪标准-控制安全泄量
108.0,5%,25,125.0,7-15-5,18500.0,20000.0,110.30496232227857,34.07800106216525,下游防洪标准-控制安全泄量
108.0,5%,26,130.0,7-15-10,16400.0,20000.0,110.11373622554066,33.61900106216525,下游防洪标准-控制安全泄量
108.0,5%,27,135.0,7-15-15,15100.0,20000.0,109.66882139348765,32.85400106216525,下游防洪标准-控制安全泄量
108.0,5%,28,140.0,7-15-20,14000.0,20000.0,109.00848213662174,31.87300106216525,下游防洪标准-控制安全泄量
108.0,5%,29,145.0,7-16-1,12900.0,18930.662235822663,108.27964557172238,30.790241461350764,闸门全开自由泄流
108.0,5%,30,150.0,7-16-6,11900.0,17619.818213928524,107.56778286294218,29.732698221186908,闸门全开自由泄流
108.0,5%,31,155.0,7-16-11,11000.0,16407.896853397793,106.8936482669365,28.731203865360857,闸门全开自由泄流
108.0,5%,32,160.0,7-16-16,9930.0,15265.67202800937,106.24278585501519,27.764282666210555,闸门全开自由泄流
108.0,5%,33,165.0,7-16-21,8840.0,14160.466467597416,105.59722011425788,26.805230201741495,闸门全开自由泄流
108.0,5%,34,170.0,7-17-2,8820.0,13180.908994073543,105.01070706059926,25.933906409226246,闸门全开自由泄流
108.0,5%,35,175.0,7-17-7,7570.0,7570.0,105.35824381639819,26.450207013641144,来量小于汛限泄能-来多少泄多少
