正常蓄水位_m,年份,年调节流量_m3s,下边界切点月份,上边界切点月份,供水期初,供水期末,供水期
115.0,1951,1034.236,7月,1月,8月,1月,8月至1月
115.0,1952,1101.954,10月,2月,11月,2月,11月至2月
115.0,1953,1434.379,11月,3月,12月,3月,12月至3月
115.0,1954,732.943,9月,2月,10月,2月,10月至2月
115.0,1955,896.863,9月,2月,10月,2月,10月至2月
115.0,1956,693.963,8月,1月,9月,1月,9月至1月
115.0,1957,956.869,8月,2月,9月,2月,9月至2月
115.0,1958,896.639,10月,1月,11月,1月,11月至1月
115.0,1959,815.802,7月,2月,8月,2月,8月至2月
115.0,1960,679.086,8月,2月,9月,2月,9月至2月
115.0,1961,1120.654,6月,10月,7月,10月,7月至10月
115.0,1962,952.906,12月,3月,1月,3月,1月至3月
115.0,1963,1290.719,8月,2月,9月,2月,9月至2月
115.0,1964,953.529,10月,2月,11月,2月,11月至2月
115.0,1965,1249.504,11月,3月,12月,3月,12月至3月
115.0,1966,742.686,7月,1月,8月,1月,8月至1月
115.0,1967,1238.872,11月,2月,12月,2月,12月至2月
115.0,1968,1194.804,11月,3月,12月,3月,12月至3月
115.0,1969,1097.172,11月,2月,12月,2月,12月至2月
115.0,1970,1042.579,9月,1月,10月,1月,10月至1月
115.0,1971,832.563,9月,2月,10月,2月,10月至2月
115.0,1972,1136.639,6月,9月,7月,9月,7月至9月
115.0,1973,791.203,10月,3月,11月,3月,11月至3月
115.0,1974,700.723,10月,3月,11月,3月,11月至3月
115.0,1975,954.845,7月,2月,8月,2月,8月至2月
115.0,1976,1080.072,11月,2月,12月,2月,12月至2月
115.0,1977,947.154,11月,3月,12月,3月,12月至3月
115.0,1978,1030.404,11月,3月,12月,3月,12月至3月
115.0,1979,762.683,9月,2月,10月,2月,10月至2月
115.0,1980,1003.629,10月,2月,11月,2月,11月至2月
115.0,1981,964.486,7月,1月,8月,1月,8月至1月
