正常蓄水位_m,年份,供水期,年保证出力_kW,排位,经验频率_%
120.0,1953,12月至3月,764651.058,1,3.125
120.0,1965,11月至3月,694152.748,2,6.25
120.0,1967,12月至2月,693652.126,3,9.375
120.0,1963,9月至2月,647531.204,4,12.5
120.0,1968,12月至3月,647197.662,5,15.625
120.0,1972,7月至9月,614018.359,6,18.75
120.0,1952,11月至2月,611558.169,7,21.875
120.0,1961,7月至10月,602600.38,8,25.0
120.0,1976,8月至2月,587403.692,9,28.125
120.0,1969,12月至3月,571203.014,10,31.25
120.0,1978,8月至3月,564412.503,11,34.375
120.0,1951,8月至1月,543175.798,12,37.5
120.0,1964,11月至2月,540731.218,13,40.625
120.0,1970,10月至3月,537610.856,14,43.75
120.0,1962,12月至3月,532510.375,15,46.875
120.0,1980,11月至3月,530484.426,16,50.0
120.0,1975,8月至2月,530391.108,17,53.125
120.0,1977,12月至3月,525349.981,18,56.25
120.0,1981,8月至1月,521840.784,19,59.375
120.0,1958,11月至1月,513834.013,20,62.5
120.0,1957,9月至2月,492430.258,21,65.625
120.0,1955,9月至3月,484046.517,22,68.75
120.0,1971,10月至2月,461334.024,23,71.875
120.0,1959,8月至2月,439120.445,24,75.0
120.0,1973,10月至3月,436610.965,25,78.125
120.0,1979,10月至2月,419475.367,26,81.25
120.0,1966,8月至2月,406870.996,27,84.375
120.0,1954,10月至2月,406491.323,28,87.5
120.0,1956,9月至1月,394570.033,29,90.625
120.0,1974,11月至3月,379234.43,30,93.75
120.0,1960,9月至2月,369642.716,31,96.875
