正常蓄水位_m,年份,年调节流量_m3s,下边界切点月份,上边界切点月份,供水期初,供水期末,供水期
108.0,1951,959.543,7月,1月,8月,1月,8月至1月
108.0,1952,980.452,11月,2月,12月,2月,12月至2月
108.0,1953,1322.339,11月,3月,12月,3月,12月至3月
108.0,1954,643.311,9月,2月,10月,2月,10月至2月
108.0,1955,802.386,11月,2月,12月,2月,12月至2月
108.0,1956,604.331,8月,1月,9月,1月,9月至1月
108.0,1957,831.686,8月,11月,9月,11月,9月至11月
108.0,1958,747.252,10月,1月,11月,1月,11月至1月
108.0,1959,751.78,7月,2月,8月,2月,8月至2月
108.0,1960,598.431,8月,1月,9月,1月,9月至1月
108.0,1961,1008.614,6月,10月,7月,10月,7月至10月
108.0,1962,803.519,12月,3月,1月,3月,1月至3月
108.0,1963,1117.278,8月,10月,9月,10月,9月至10月
108.0,1964,815.319,11月,2月,12月,2月,12月至2月
108.0,1965,1123.152,12月,3月,1月,3月,1月至3月
108.0,1966,667.993,7月,1月,8月,1月,8月至1月
108.0,1967,1089.486,11月,2月,12月,2月,12月至2月
108.0,1968,1082.764,11月,3月,12月,3月,12月至3月
108.0,1969,947.786,11月,2月,12月,2月,12月至2月
108.0,1970,930.539,9月,1月,10月,1月,10月至1月
108.0,1971,742.864,9月,1月,10月,1月,10月至1月
108.0,1972,956.878,6月,8月,7月,8月,7月至8月
108.0,1973,701.571,10月,3月,11月,3月,11月至3月
108.0,1974,598.439,10月,2月,11月,2月,11月至2月
108.0,1975,836.019,11月,2月,12月,2月,12月至2月
108.0,1976,930.686,11月,2月,12月,2月,12月至2月
108.0,1977,835.114,11月,3月,12月,3月,12月至3月
108.0,1978,918.364,11月,3月,12月,3月,12月至3月
108.0,1979,670.989,9月,1月,10月,1月,10月至1月
108.0,1980,891.589,10月,2月,11月,2月,11月至2月
108.0,1981,889.793,7月,1月,8月,1月,8月至1月
