正常蓄水位_m,年份,供水期,年保证出力_kW,排位,经验频率_%
108.0,1953,12月至3月,553297.73,1,3.125
108.0,1965,1月至3月,472431.007,2,6.25
108.0,1967,12月至2月,468035.086,3,9.375
108.0,1968,12月至3月,459663.399,4,12.5
108.0,1963,9月至10月,422402.901,5,15.625
108.0,1972,7月至8月,418542.609,6,18.75
108.0,1961,7月至10月,418009.85,7,21.875
108.0,1952,12月至2月,404768.629,8,25.0
108.0,1978,12月至3月,388957.218,9,28.125
108.0,1951,8月至1月,383077.077,10,31.25
108.0,1970,10月至1月,380674.847,11,34.375
108.0,1969,12月至2月,377629.241,12,37.5
108.0,1980,11月至2月,376817.429,13,40.625
108.0,1976,12月至2月,375416.502,14,43.75
108.0,1981,8月至1月,372234.62,15,46.875
108.0,1977,12月至3月,356660.254,16,50.0
108.0,1975,12月至2月,351259.94,17,53.125
108.0,1964,12月至2月,341282.934,18,56.25
108.0,1957,9月至11月,338933.823,19,59.375
108.0,1962,1月至3月,332210.673,20,62.5
108.0,1955,12月至2月,330531.822,21,65.625
108.0,1971,10月至1月,320384.644,22,68.75
108.0,1958,11月至1月,319959.677,23,71.875
108.0,1959,8月至2月,315106.296,24,75.0
108.0,1973,11月至3月,298177.196,25,78.125
108.0,1966,8月至1月,296031.823,26,81.25
108.0,1979,10月至1月,291548.639,27,84.375
108.0,1954,10月至2月,273105.153,28,87.5
108.0,1956,9月至1月,257721.376,29,90.625
108.0,1960,9月至1月,255498.249,30,93.75
108.0,1974,11月至2月,249306.209,31,96.875
