正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
115.0,1951,10.0,129.4959,4月,优化区-枚举月末库容,1726.515,115.0,1609.8342,113.7232,3909.0,4025.6808,1294959.0,0.0,945320070.0
115.0,1951,10.0,129.4959,5月,汛限线附近-满发,1609.8342,113.7232,1609.8342,113.7232,2995.0,2488.7813,1282148.4654,500.2148,935968379.7371
115.0,1951,10.0,129.4959,6月,汛限线附近-满发,1609.8342,113.7232,780.104,101.3462,1931.3,2754.5798,1294959.0,0.0,945320070.0
115.0,1951,10.0,129.4959,7月,低于防破坏线-保证出力,780.104,101.3462,1609.8342,113.7232,2901.7,702.3381,345769.0638,1363.6278,252411416.551
115.0,1951,10.0,129.4959,8月,低于防破坏线-保证出力,1609.8342,113.7232,1428.3307,111.737,480.3,667.7037,351609.591,0.0,256675001.43
115.0,1951,10.0,129.4959,9月,低于防破坏线-保证出力,1428.3307,111.737,1363.5081,111.0276,619.5,682.4017,351609.591,0.0,256675001.43
115.0,1951,10.0,129.4959,10月,低于防破坏线-保证出力,1363.5081,111.0276,1726.515,115.0,1331.0,664.2411,351609.591,303.752,256675001.43
115.0,1951,10.0,129.4959,11月,优化区-枚举月末库容,1726.515,115.0,1726.515,115.0,673.0,673.0,367507.802,0.0,268280695.46
115.0,1951,10.0,129.4959,12月,优化区-枚举月末库容,1726.515,115.0,1726.515,115.0,1160.0,1160.0,625577.027,0.0,456671229.7297
115.0,1951,10.0,129.4959,1月,优化区-枚举月末库容,1726.515,115.0,1726.515,115.0,658.7,658.7,359859.0738,0.0,262697123.8521
115.0,1951,10.0,129.4959,2月,优化区-枚举月末库容,1726.515,115.0,1635.7633,114.0069,1127.7,1218.4517,651138.7728,0.0,475331304.1572
115.0,1951,10.0,129.4959,3月,优化区-枚举月末库容,1635.7633,114.0069,1726.515,115.0,2568.6,2477.8483,1292503.3482,0.0,943527444.1653
115.0,1952,10.0,129.4959,4月,优化区-枚举月末库容,1726.515,115.0,1182.0046,108.4514,2001.0,2545.5104,1272521.6271,0.0,928940787.7583
115.0,1952,10.0,129.4959,5月,汛限线附近-满发,1182.0046,108.4514,1609.8342,113.7232,5399.3,2592.6018,1281614.0687,2372.8647,935578270.1664
115.0,1952,10.0,129.4959,6月,汛限线附近-满发,1609.8342,113.7232,1609.8342,113.7232,3781.3,2488.7813,1282148.4654,1286.5148,935968379.7371
115.0,1952,10.0,129.4959,7月,汛限线附近-满发,1609.8342,113.7232,1609.8342,113.7232,3677.0,2488.7813,1282148.4654,1182.2148,935968379.7371
115.0,1952,10.0,129.4959,8月,低于防破坏线-保证出力,1609.8342,113.7232,1609.8342,113.7232,4378.3,649.8766,348264.4732,3722.4195,254233065.4541
115.0,1952,10.0,129.4959,9月,优化区-枚举月末库容,1609.8342,113.7232,1726.515,115.0,2768.3,2651.6192,1294959.0,0.0,945320070.0
115.0,1952,10.0,129.4959,10月,低于防破坏线-保证出力,1726.515,115.0,1726.515,115.0,2659.7,643.2914,351609.591,2016.4086,256675001.43
115.0,1952,10.0,129.4959,11月,优化区-枚举月末库容,1726.515,115.0,1726.515,115.0,1018.3,1018.3,550981.6857,0.0,402216630.5385
115.0,1952,10.0,129.4959,12月,优化区-枚举月末库容,1726.515,115.0,1726.515,115.0,693.3,693.3,378353.8464,0.0,276198307.8501
115.0,1952,10.0,129.4959,1月,优化区-枚举月末库容,1726.515,115.0,1726.515,115.0,580.3,580.3,317801.237,0.0,231994902.9881
115.0,1952,10.0,129.4959,2月,优化区-枚举月末库容,1726.515,115.0,1091.2528,106.847,833.0,1468.2622,743241.9387,0.0,542566615.2641
115.0,1952,10.0,129.4959,3月,优化区-枚举月末库容,1091.2528,106.847,1389.4371,111.3114,3003.7,2705.5157,1290230.7232,0.0,941868427.9472
115.0,1953,10.0,129.4959,4月,汛限线附近-满发,1389.4371,111.3114,1182.0046,108.4514,2478.0,2679.4035,1294959.0,0.0,945320070.0
115.0,1953,10.0,129.4959,5月,汛限线附近-满发,1182.0046,108.4514,1609.8342,113.7232,3517.3,2592.6018,1281614.0687,490.8647,935578270.1664
