正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
120.0,5.0,150.1892,69.2952,0.7655,1530.9416
120.0,10.0,155.1892,69.9751,0.6799,1359.8446
120.0,15.0,160.1892,70.691,0.7158,1431.6654
120.0,20.0,165.1892,71.4556,0.7646,1529.2742
120.0,25.0,170.1892,71.7729,0.3173,634.6274
120.0,30.0,175.1892,72.5285,0.7555,1511.0953
120.0,35.0,180.1892,72.7049,0.1765,352.9377
120.0,40.0,185.1892,73.2629,0.5579,1115.8249
120.0,45.0,190.1892,73.9646,0.7017,1403.3909
120.0,50.0,195.1892,74.2096,0.2451,490.1277
120.0,55.0,200.1892,74.6613,0.4516,903.2653
120.0,60.0,205.1892,74.9963,0.335,670.0137
