正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1951,15.0,106.4353,4月,优化区-枚举月末库容,1156.472,108.0,1004.7046,105.3169,3909.0,4060.7674,1064353.0,0.0,776977690.0
108.0,1951,15.0,106.4353,5月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,2995.0,2332.7804,1038161.793,659.8805,757858108.8748
108.0,1951,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,1931.3,2614.2534,1011125.833,0.0,738121858.1201
108.0,1951,15.0,106.4353,7月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,2901.7,652.3648,266742.3935,1564.0427,194721947.2877
108.0,1951,15.0,106.4353,8月,低于防破坏线-保证出力,1004.7046,105.3169,878.2317,103.081,480.3,607.822,276737.775,0.0,202018575.75
108.0,1951,15.0,106.4353,9月,低于防破坏线-保证出力,878.2317,103.081,878.2317,103.081,619.5,621.1583,276737.775,0.0,202018575.75
108.0,1951,15.0,106.4353,10月,低于防破坏线-保证出力,878.2317,103.081,1156.472,108.0,1331.0,592.5407,276737.775,460.2191,202018575.75
108.0,1951,15.0,106.4353,11月,低于防破坏线-保证出力,1156.472,108.0,1156.472,108.0,673.0,566.6419,276737.775,106.3581,202018575.75
108.0,1951,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1160.0,1160.0,556557.027,0.0,406286629.7297
108.0,1951,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,658.7,658.7,320666.4238,0.0,234086489.3521
108.0,1951,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,945.6839,104.2735,1127.7,1338.4881,618251.0432,0.0,451323261.5306
108.0,1951,15.0,106.4353,3月,优化区-枚举月末库容,945.6839,104.2735,1156.472,108.0,2568.6,2357.8119,1064353.0,0.0,776977690.0
108.0,1952,15.0,106.4353,4月,优化区-枚举月末库容,1156.472,108.0,760.1904,100.9941,2001.0,2397.2816,1048324.9806,0.0,765277235.8142
